,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
0,Tue Aug 03 11:48:22 +0000 2021,1422524740950921223,1422524740950921223,"【Amebaブログ更新】2021年8月3日

⚠️コメントはアメブロのコメント欄へお願いいたします。

「ワクチン接種（2回目）から2週間」

⇒ https://t.co/JWf6bxnuOp #アメブロ @ameba_officialより",False,"{'hashtags': [{'text': 'アメブロ', 'indices': [98, 103]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ameba_official', 'name': 'Ameba Topics', 'id': 1948793370, 'id_str': '1948793370', 'indices': [104, 119]}], 'urls': [{'url': 'https://t.co/JWf6bxnuOp', 'expanded_url': 'https://ameblo.jp/schu-ichisono/entry-12690170851.html', 'display_url': 'ameblo.jp/schu-ichisono/…', 'indices': [74, 97]}]}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,"{'id': 914363369020317697, 'id_str': '914363369020317697', 'name': '園 修一／Schu-ichi SONO', 'screen_name': 'Schu_ichiSono', 'location': '東京・北区', 'description': '★国立音楽大学卒業（ピアノ専攻）★東京を拠点に音楽活動中（リサイタル／イベント演奏／合唱・声楽・器楽伴奏／CDリリース）★各地公開講座受講（ピアノ演奏・指導法など）★ピアノレッスン受付中（本来のピアノ奏法・音の出し方・身体に負担の少ない楽な弾き方）→Mail：schu-ichisono@teamjss.comまで', 'url': 'https://t.co/zxYteKofQy', 'entities': {'url': {'urls': [{'url': 'https://t.co/zxYteKofQy', 'expanded_url': 'http://schu-ichisono.com', 'display_url': 'schu-ichisono.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 320, 'friends_count': 141, 'listed_count': 1, 'created_at': 'Sun Oct 01 05:36:30 +0000 2017', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1218, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1256955901761601537/xA6SDx05_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1256955901761601537/xA6SDx05_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/914363369020317697/1588516583', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,False,ja
1,Tue Aug 03 11:48:18 +0000 2021,1422524725058703363,1422524725058703363,「どっちのワクチン打った？ファイザー？モデルナ？」とか「2回目の方がつらかった」とか言ってるのが近い将来笑い話になってるといいな。。。,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 354984844, 'id_str': '354984844', 'name': 'Misaki', 'screen_name': 'misalovebj', 'location': '', 'description': '適当なことつぶやいてます。\n争い事キライ。平和が一番😊', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 44, 'friends_count': 575, 'listed_count': 2, 'created_at': 'Sun Aug 14 16:48:05 +0000 2011', 'favourites_count': 31692, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2479, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1413064567614185477/rE25WDbV_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1413064567614185477/rE25WDbV_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/354984844/1619996379', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
2,Tue Aug 03 11:48:15 +0000 2021,1422524714572869634,1422524714572869634,ワクチン２回目、予想通りもうキツい,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 2725993484, 'id_str': '2725993484', 'name': 'ヨシミ・ムンチャクッパス', 'screen_name': '0405zero', 'location': '長崎', 'description': '社会人 三度の飯よりロック 映画は雑食 ポップコーン、バター多めで PS4 TPS初心者 KHが大好きだからDisneyも好き メケメケフェレットになりたいこの頃', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 53, 'friends_count': 278, 'listed_count': 1, 'created_at': 'Tue Aug 12 11:35:48 +0000 2014', 'favourites_count': 3111, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5597, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1343382504577724416/kb5YMF1r_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1343382504577724416/kb5YMF1r_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2725993484/1609078019', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
3,Tue Aug 03 11:48:14 +0000 2021,1422524710114402305,1422524710114402305,2回目ワクチン打ってきたからアイナナフラゲしようと思ってたけど無理だった🥲,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 763783004388925440, 'id_str': '763783004388925440', 'name': '💁🏻\u200d♀️りくとてんのあぬぇ🐰', 'screen_name': '7secom9', 'location': 'IDOLiSH7寮清掃中🧹', 'description': 'アイナナに生かされてる双子𝄡 𝄪 を見守り続ける姉です👩\u200d👦\u200d👦 フラウェ𝄫 𝄪 の女💃IDOLiSH7寮の家事代行姉さん🧹 君といるこの惑星でYeah🌈𓈒 𓂂𓏸', 'url': 'https://t.co/9xB4SsEUyG', 'entities': {'url': {'urls': [{'url': 'https://t.co/9xB4SsEUyG', 'expanded_url': 'http://twpf.jp/7secom9', 'display_url': 'twpf.jp/7secom9', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 155, 'friends_count': 329, 'listed_count': 0, 'created_at': 'Thu Aug 11 17:03:53 +0000 2016', 'favourites_count': 8146, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 25225, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1413154510902468627/WH1sXTzI_normal.png', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1413154510902468627/WH1sXTzI_normal.png', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/763783004388925440/1597049552', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
4,Tue Aug 03 11:48:08 +0000 2021,1422524682599731202,1422524682599731202,ワクチン予約取れた。今月2回目まで接種終えれる予定。今だけは無職に感謝wだって副作用気にして次の日休みの時に〜とか予定考えず予約出来るからw副作用出ないといいなー。熱はまだいいけど頭痛は勘弁。ただでさえ普段から頭痛持ちで辛いから、頭痛だけは嫌だ。,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1410583094801829895, 'id_str': '1410583094801829895', 'name': 'おわ子', 'screen_name': 'TNcujs5OPz8YPUP', 'location': '', 'description': '35歳、現在無職。 ９月からとりあえず派遣になります。終わってる感半端ない。 でも人生なにがあるかわからない。 とりあえずポジティブにいきます。', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 3, 'friends_count': 5, 'listed_count': 0, 'created_at': 'Thu Jul 01 12:57:05 +0000 2021', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 73, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1410583930093273092/2UIne_65_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1410583930093273092/2UIne_65_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
5,Tue Aug 03 11:48:07 +0000 2021,1422524680611667968,1422524680611667968,"家人はワクチン2回摂取済み
おれは来週１回目
コロナ禍状態じゃ病院行くのも怖がるべきなのに…",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 957581844328849409, 'id_str': '957581844328849409', 'name': 'SIREN祭2021開催中シュバイツ💓⚡️より先にロキがS2だと！？🥀(ぽてさらさんにもらった)', 'screen_name': '_hIraeSh_', 'location': 'ロキが生存した世界', 'description': '20↑目指せ最高にきゅるってる✨\n腐すきなこと、洋画、アニメ、アメコミ、他たくさん。アマプラみる。絵も描く。無言フォローしてごめんね。フォロー等ご自由に。pkmn⚔️🛡🔥🐉👑🎤におねつ\n挨拶不要', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 107, 'friends_count': 1044, 'listed_count': 3, 'created_at': 'Sun Jan 28 11:51:17 +0000 2018', 'favourites_count': 100710, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 36000, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1422056843443015687/VxRhxgt2_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1422056843443015687/VxRhxgt2_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/957581844328849409/1626675024', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
6,Tue Aug 03 11:48:04 +0000 2021,1422524666027995142,1422524666027995142,"明日2回目のワクチン接種

ほんま怖い.......熱出るのヤダ.......",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1402756265374150657, 'id_str': '1402756265374150657', 'name': 'つるた', 'screen_name': 'True_True_chan', 'location': '', 'description': '底なし麻雀沼の住人 大泉学園の雀荘Geekに基本木曜日シフト入ってます。気軽に「つるちゃん」とお呼びください。@MahjongGeek', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 94, 'friends_count': 125, 'listed_count': 0, 'created_at': 'Wed Jun 09 22:35:41 +0000 2021', 'favourites_count': 333, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 672, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1402756346164912129/UvAvd6po_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1402756346164912129/UvAvd6po_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
7,Tue Aug 03 11:48:03 +0000 2021,1422524660831309832,1422524660831309832,2回目ワクチン打って落ち着いたら近鉄沿線旅行行こうっと(範囲広すぎ),False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1377278001872654337, 'id_str': '1377278001872654337', 'name': 'ロールす華月', 'screen_name': 'rolls_kagetsu', 'location': 'きょーとちほー', 'description': 'けもフレの話題がメイン\nたまに絵も描くかも\n\nskeb→https://t.co/bEU7w4JYmy', 'url': 'https://t.co/cHLh12KlbM', 'entities': {'url': {'urls': [{'url': 'https://t.co/cHLh12KlbM', 'expanded_url': 'https://www.pixiv.net/users/53406666', 'display_url': 'pixiv.net/users/53406666', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/bEU7w4JYmy', 'expanded_url': 'https://skeb.jp/@rolls_kagetsu', 'display_url': 'skeb.jp/@rolls_kagetsu', 'indices': [28, 51]}]}}, 'protected': False, 'followers_count': 378, 'friends_count': 313, 'listed_count': 8, 'created_at': 'Wed Mar 31 15:14:26 +0000 2021', 'favourites_count': 6772, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2509, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1377279869386563586/t9h6LW7p_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1377279869386563586/t9h6LW7p_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1377278001872654337/1624045776', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
8,Tue Aug 03 11:48:02 +0000 2021,1422524658004336647,1422524658004336647,旦那、本日ワクチン2回目接種（モデルナ）。3時間経過、今のところ副反応は出てないみたいです。,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 987101824778829824, 'id_str': '987101824778829824', 'name': 'フー子', 'screen_name': 'FMasukunee', 'location': '日本', 'description': '中3次女、不登校歴7年目に入りました（小2より登校渋り、小3より完全不登校/不登校やら発達障害やらOCDやらHSCやら', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 99, 'friends_count': 65, 'listed_count': 1, 'created_at': 'Thu Apr 19 22:53:09 +0000 2018', 'favourites_count': 6274, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3927, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/987102697944838144/lgJWuqbq_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/987102697944838144/lgJWuqbq_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/987101824778829824/1539560345', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
9,Tue Aug 03 11:48:01 +0000 2021,1422524656284803072,1422524656284803072,昨日の夕方にワクチン２回目を接種し、さっきまで熱と悪寒…ようやく今日一食目のごはんだー。,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'ja', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 150517217, 'id_str': '150517217', 'name': '一葉｜プリズムテック☁️🌝', 'screen_name': 'osake1st', 'location': '半蔵門線', 'description': 'プリズムテック株式会社CEO💎コミュニティデザイン、コミュニティ運営を生業にしています。お酒と手帳好き✍🏻秋田→お茶大物理→Microsoft→現在👩🏻\u200d💻🤘🏻👶🏻', 'url': 'https://t.co/zdzWuZ0e5Y', 'entities': {'url': {'urls': [{'url': 'https://t.co/zdzWuZ0e5Y', 'expanded_url': 'https://note.com/osake1st', 'display_url': 'note.com/osake1st', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 4462, 'friends_count': 1009, 'listed_count': 137, 'created_at': 'Tue Jun 01 03:53:42 +0000 2010', 'favourites_count': 106523, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 20620, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'EFE9D9', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1405555086168788995/9HEsuZ-W_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1405555086168788995/9HEsuZ-W_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/150517217/1616709267', 'profile_link_color': 'E18F9B', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '74659E', 'profile_text_color': 'A3A7CA', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False,,ja
